0,iir-10.4,"{'precision', 'cas queries', 'recall', 'non-redundant results lists', 'collection statistics', 'binary evaluation', 'cas topics', 'structural criteria', 'xml retrieval effectiveness', 'nested elements', 'tree', 'evaluation metric', 'cas topic', 'structural filter', 'inex 2002 collection', 'structured documents', 'elements', 'unstructured information retrieval', 'vector space system', 'collection', 'documents', 'evaluation scheme', 'topical relevance', 'collections', 'cas', 'keywords', 'initiative for  the evaluation of xml retrieval', 'initiative for the evaluation of xml retrieval', 'algorithms', 'language-model-based system', 'evaluation of xml retrieval', 'content-only system', 'precision at k', 'relevant documents', 'document', 'component coverage', 'inex 2002', 'discretiztion function', 'relevance assessments', 'unstructured  retrieval effectiveness', 'inex program', 'relevane judgments', 'information needs', 'inex 2003', 'information sought', 'xml retrieval', 'precision-oriented tasks structured retrieval', 'marginal relevance', 'keyword queries', 'full-structure model', 'queries', 'unstructured bags of words', 'binary relevance judgments', 'structured retrieval', 'structural constraints', 'test collection', 'inex 2004', 'keyword matching', 'query', 'highly relevant elements', 'co topics', 'unstructured retrieval', 'content-and-structure topics', 'f', 'binary relevance assessments', 'relevance', 'precision-oriented tasks', 'relevance-coverage combinations', 'relevance judgments', 'topical relevance dimension', 'unstructured retrieval effectiveness', 'graded evaluation', 'coverage', 'binary relevance', 'inex', 'bags of words', 'content criteria', 'simmerge', 'effectiveness'}"
1,iir-11.4,"{'okapi weighting', 'machine learning', 'ir', 'a tree structure of term dependencies', 'idf', 'tree structure of dependencies', 'collections', '̢\\x80\\x9cvector space̢\\x80\\x9d ir systems', 'probabilistic dependencies', 'tree-structured dependencies between terms', 'document length', 'term weighting scheme', 'document', 'network', 'tf-idf', 'inquery text retrieval system', 'bm25 weights', 'grid search', 'bayesian networks', 'tuning parameters', 'probabilistic ir', 'weighting scheme', 'trec evaluations', 'probabilistic ir model', 'query', 'parameter estimation', 'information retrieval scheme', 'probabilistic ir system', 'probabilistic ir systems', 'terms', 'probabilistic model', 'bm25 term weighting', 'collection', 'documents', 'normalization', '̢\\x80\\x9cprobabilistic̢\\x80\\x9d ir systems', 'boolean and probabilistic models', 'length normalization of the query', 'statistical ranked retrieval model', 'boolean representation of queries', 'negative term weight', 'probabilistic models', 'term weighting models', 'queries', 'query terms', 'probabilistic graph- ical model', 'tree structure', 'full-text search collections', 'document term frequency scaling', 'test collection', 'performance', 'term frequency', 'document relevance', 'query network', 'positive tuning parameter', 'document scoring', 'information need', 'dependencies', 'term', 'document length scaling', 'bm25 weighting scheme', 'boolean representation of documents', 'boolean representation of relevance', 'machine learning data sets', 'bim', 'directed graphs', 'probability theory', 'vector space', 'okapi bm25', 'bayesian network approaches', 'bayesian network-based information retrieval systems', 'computational linguistics', 'query vector', 'non-binary model', 'bayesian network', 'term frequency scaling', 'binary model', 'document term', 'term weighting method', 'different probabilistic language modeling approach', 'ir systems', 'term independence', 'probabilistic graphical model', 'term dependencies', 'boolean models', 'directed acyclic graphs', 'query subexpressions', 'document collection network', 'document term frequency', 'probabilistic methods', 'length normalization', 'vector-space ir system', 'probabilistic network', 'term weight', 'probabilistic system', 'relevance feedback', 'cosine similarity', 'information retrieval', 'tuning parameter', 'term  weight', 'raw term frequency', 'structured query operators', 'tree augmented  naive bayes model', 'relevance', 'relevance judgments', 'stop list', 'idf weighting', 'boolean representation'}"
2,iir-7.2,"{'machine learning', 'tokens', 'parsing and scoring functions', 'field indexes', 'tf', 'retrieval', 'accumulates evidence', 'rudimentary search system', 'stop words', 'collections', 'query-term proximity', 'web search', 'document', 'query parser', 'language and format detection', 'positional indexes', 'format detection', 'document id', 'query', 'vector space retrieval', 'scoring module', 'zone and field indexes', 'free text queries', 'champion lists', 'retrieved documents', 'terms', 'free text user query', 'query string', 'web search engine', 'parsed document', 'document cache', 'collection', 'documents', 'query parsing layer', 'query operators', 'search interfaces', 'tokenization', 'field queries', 'collection of documents', 'phrase queries', 'queries', 'query terms', 'boolean', 'search system', 'tf values', 'query distribution', 'search', 'indexers', 'spelling correction', 'scoring', 'indexes', 'proximity-weighted scoring functions', 'parsing and linguistic processing', 'machine-learned scoring', 'index elimination', 'proximity weighting', 'tf threshold', 'static quality', 'aggregate scoring function', 'proximity-weighted scoring function', 'vector space', 'linguistic processing', 'tiered indexes', 'top-k retrieval', 'tolerant retrieval', 'consumer-facing search applications', 'phrase query', 'mlr', 'vector space queries', 'document management systems', 'proximity-weighted scoring fucntions', 'vector space scoring', 'document collection', 'vector spaces', 'machine-learned ranking', 'vector space query', 'retrieval operators', 'index', 'postings entries', 'stemming', 'cosine similarity', 'metadata', 'evidence accumulation', 'information retrieval system', 'parsing', 'web search engines', 'zone', 'zones', 'inexact top-k retrieval', 'postings', 'scoring function'}"
3,iir-1,"{'structure', 'relational database', 'terms', 'classification', 'structured data', 'ir', 'data', 'information retrieval systems', 'semistructured search', 'collection', 'documents', 'term-document matrix', 'spam', 'collections', 'indexing', 'boolean retrieval model', 'web search', 'inverted index', 'document', 'rankings', 'unstructured data', 'text classification', 'database-style searching', 'personal search', 'centralized file systems', 'information retrieval', 'latent linguistic structure', 'central inverted index data structure', 'human language', 'clustering', 'domain specific search', 'personal information retrieval', 'search', 'boolean queries', 'text data', 'retrieved documents'}"
4,iir-9.1,"{'nonrelevant documents', 'rf', 'recall', 'local analysis', 'ir', 'retrieval', 'term-weighting', 'collections', 'spelling correction techniques', 'result set', 'optimal query', 'ir query context', 'web search', 'blind relevance feedback', 'document', 'active learning', 'searcher̢\\x80\\x99s vocabulary', 'results set', 'rocchio algorithm', 'collection vocabulary', 'image search system', 'nonrelevant document̢\\x80\\x99s vector', 'negative feedback', 'effectiveness of relevance feed- back', 'negative term weights', 'query reformulation', 'query', 'recall enhancing strategy', 'implicit feedback', 'ir query', 'full relevance feedback', 'ad hoc retrieval', 'retrieved document quality', 'probabilistic relevance feedback', 'evaluation', 'trec ad hoc task', 'multimodal class', 'evaluation of relevance feedback strategies', 'equations', 'click rates', 'mean average precision', 'nonrelevant document', 'misspellings', 'ir system', 'interactive relevance feedback', 'indirect relevance feedback', 'collection', 'documents', 'precision-recall graph', 'web search users', 'document clusters', 'search interfaces', 'term distribution', 'term-based comparison', 'naive bayes probabilistic model', 'cluster', 'automatic local analysis', 'web search query', 'ide edc-hi', 'queries', '""searchers vocabulary""', 'clickstream mining', 'computing  cost', 'directhit search engine', 'boolean indicator variable', 'web link structure', 'cross-language information retrieval', 'global analysis', 'underlying theory', 'search', 'term frequency', 'query refinement', 'modified query', 'effectiveness', 'precision', 'retrieval performance', 'information need', 'implicit relevance feedback', 'information filter', 'explicit feedback', 'term', 'positive feedback', 'term weights', 'advanced search interfaces', 'image search', 'equation', 'relevance feedback strategies', 'user feedback', 'vector space', 'residual collection', 'vector space model', 'retrieval process', 'query vector', 'ide dec-hi', 'excite search engine', 'time-based comparison', 'relevance feedback approach', 'ir systems', 'collection statistics', 'relevance feedback techniques', 'ranking', 'vocabulary', 'rocchio relevance feedback model', 'classifier', '""sltons smart system""', 'term weight', 'relevant documents', 'clickstream data', 'response times', 'relevance of documents', 'relevance feedback', 'cosine similarity', 'information retrieval', 'prototype', 'web search engines', 'excite web search engine', 'query term weights', 'optimal query vector', 'vocabulary overlap', 'relevance judgments', 'pseudo relevance feedback', 'iterative query refinement', 'language cluster', 'relevance of a document'}"
5,iir-8.4,"{'precision', 'information need', 'ranked retrieval context', 'trec ad hoc evaluations', 'recall', 'roc curve', 'mean average precision', 'break-even point', 'map scores', 'set-based measures', 'cumulative gain', 'ranking', 'r-precision', 'documents', 'precision-recall curves', 'top rel documents', 'top k retrieved documents', 'arithmetic mean', 'normalized discounted cumulative gain', 'machine learning approaches', 'search engines', 'web search', 'f-measure', 'precision at k', 'relevant documents', 'document', 'uninterpolated precision-recall curve', 'average precision', 'roc', 'f measure', 'information needs', 'trec', 'interpolated precision', 'ndcg', 'top k documents', 'queries', 'trec 8', 'receiver operating characteristics', 'precision-recall curve', 'specificity', 'ranked retrieval results', '11-point interpolated average precision', 'test collection', 'relevant document', 'sensitivity', 'normalization factor', 'query', 'map', 'relevance', 'retrieved documents', 'non-binary notions of relevance'}"
6,iir-13,"{'machine learning', 'precision', 'terms', 'sentiment detection', 'labeling', 'classification algorithms', 'vertical search engine', 'support vector machines', 'recall', 'computer vision', 'classification', 'feature selection', 'training data', 'vector space classifiers', 'vertical search', 'word segmentation', 'ir', 'classification methods', 'topic classification', 'spam pages', 'automatic classification', 'machine learning-based text classification', 'email sorting', 'preprocessing', 'retrieval systems', 'rules', 'ranking', 'unicode utf-8', 'topic-specific serach', 'efficiency', 'collection', 'documents', 'ad hoc information retrieval', 'indexing', 'classifier', 'topic spotting', 'class', 'topics', 'document', 'evaluation of text classification', 'index', 'information needs', 'naive bayes', 'text classification', 'stemming', 'relevance feedback', 'truecasing', 'boolean search engine', 'information retrieval', 'ascii', 'queries', 'routing', 'multicore', 'search engine index', 'text categorization', 'safesearch', 'multicore processors', 'clasifier', 'search engine', 'vertical search engines', 'query', 'two-class classification', 'standing query', 'rules in text classification', 'classes', 'filtering', 'statistical text classification', 'topic-specific search', 'multicore computer chips', 'ranking function', 'ad hoc retrieval', 'text classifier', 'standing queries'}"
7,iir-8.5.1,"{'nonrelevant documents', 'information need', 'scoring', 'ir', 'retrieval systems', 'ir system', 'world wide web', 'trec tracks', 'collection', 'documents', 'relevant documents', 'document', 'parameter weights', 'information needs', 'trec', 'machine learning methods', 'retrieval effectiveness', 'marginal relevance', 'relevance-based assessment', 'queries', 'inex evaluations', 'test collection', 'document length normalization methods', 'ir evaluation', 'retrieval results', 'ir systems', 'relevance', 'system evaluation', 'inex', 'ntcir', 'effectiveness'}"
8,iir-8.3,"{'precision', 'accuracy', 'machine learning classification problems', 'recall', 'classification', 'false positives', 'ir system', 'documents', 'classifications', 'arithmetic mean', 'geometric mean', 'relevant documents', 'document', 'information retrieval problems', 'information retrieval effectiveness', 'f measure', 'two-class classifier', 'hard disks', 'queries', 'unranked retrieval sets', 'information retrieval system', 'ranked retrieval situations', 'query', 'balanced f measure', 'classes', 'true positives', 'false positive', 'ranked retrieval'}"
9,iir-11.3,"{'data analysis', 'tf-idf value', 'prior distribution', 'pseudocounts', 'idf', 'ranking of documents', 'maximum a posteriori', 'bayesian updating', 'document length', 'document', 'tf-idf', 'probabilistic retrieval', 'query', 'naive bayes assumption', 'frequency of term occurrence', 'log odds ratios', 'terms', 'estimated probability of relevance', 'binary independence model', 'nonrelevant document', 'vector representation', 'term incidence vector', 'collection', 'documents', 'odds', 'pseudo-relevance feedback version', 'prp', 'bayesian prior', 'vector space model calculations', 'queries', 'query terms', 'combination match model', 'boolean', 'maximum a posteriori estimation', 'naive bayes conditional independence assumption', 'mle', 'term frequency', 'document relevance', 'probability of relevance', 'independence', 'information need', 'document frequency', 'odds of relevance', 'maximum likelihood estimate', 'term', 'relevance feedback weighting', 'pseudo-relevance feedback', 'iterative process', 'binary term incidence vectors', 'naive bayes models', 'bim', 'odds ratio', '(pseudo-)relevance feedback', 'vector space model', 'distribution', 'smoothing', 'probability', 'binary', 'bayes rule', 'relevant document', 'uniform distribution', 'probability function', 'log scaled components', 'ranking function', 'term incidence vectors', 'probabilistic retrieval strategy', 'document collection', 'prior probability', 'uniformly distributing pseudocounts', 'retrieval status value', 'algorithm', 'vocabulary', 'probability of document relevance', 'bernoulli random variable', 'beta distribution prior', 'relevant documents', 'relevance feedback', 'probabilistic approaches', 'probability estimates', 'incidence vector', 'relevance', 'relevance judgments', 'idf weighting', 'multivariate bernoulli naive bayes model', 'relative frequency'}"
